Activity,Category,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day 8,Day 9,Day 10,Day 11,Day 12,Day 13,Day 14,Day 15,Day 16,Day 17,Day 18,Day 19,Day 20,Day 21,S.n,Score
Affirmation,🧠 Mind,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,1,13/21
Meditate (5m),🧠 Mind,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,2,10/21
Gratitude,🧠 Mind,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,3,10/21
Self Talk (1m),🧠 Mind,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,4,9/21
Journal,🧠 Mind,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,5,13/21
Study 3h,📚 Learning,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No,6,8/21
Read 1p,📚 Learning,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,7,6/21
Plan Tmrw (5m),📚 Learning,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,8,1/21
Wake < 6,💪 Discipline,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,9,3/21
Sleep < 11,💪 Discipline,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,10,0/21
No Phone Bed,💪 Discipline,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,11,4/21
Avoid Temptation,💪 Discipline,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,12,3/21
Digital Detox,🧍 Health,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,13,9/21
Workout (3s),🧍 Health,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,14,1/21
45m outdoor,🧍 Health,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,15,9/21
Wash (AM),🧍 Health,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,16,3/21
Running (PM),🧍 Health,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,17,5/21
Photo Hair,🧍 Health,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,18,9/21
Vitamin D (15m),🧍 Health,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,19,0/21
2-4L Water,🥗 Diet,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,20,2/21
No Junk,🥗 Diet,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,21,11/21
